id,name,city,country,total_matches,avg_first_inn_runs,avg_second_inn_runs,bat_factor,bowl_factor,pace_index,spin_index,boundary_rate
276,"Ishoj Cricket Club, Vejledalen",Ishoj,,5,155.2,110.8,0.9999859486311775,1.0000140515662663,0.8809523809523809,0.11904761904761907,0.10743801652892562
32,JSCA International Stadium Complex,Ranchi,,11,153.27272727272728,136.27272727272728,0.9955689946293703,1.0044507265639377,0.8604651162790697,0.13953488372093026,0.14336075205640422
293,Jade Stadium,Christchurch,,,,,,,,,
270,"Jimmy Powell Oval, Cayman Islands",George Town,,13,133.46153846153845,100.38461538461539,0.9447981303451001,1.0584271580160056,0.9121621621621622,0.08783783783783783,0.10320284697508897
260,Jinja Cricket Ground,Jinja,,,,,,,,,
183,"John Davies Oval, Queenstown",Queenstown,,,,,,,,,
350,"Junction Oval, Melbourne",Melbourne,,,,,,,,,
290,"Kennington Oval, London",London,,17,151.2941176470588,134.75,0.9884054227147087,1.0117305885002597,0.8719211822660099,0.1280788177339901,0.15919977458438997
25,"Kensington Oval, Bridgetown",Barbados,,75,155.97333333333333,140.06944444444446,1.0038780612749305,0.9961369199860735,0.8921775898520085,0.10782241014799154,0.14830805134189032
133,Kerava National Cricket Ground,Kerava,,30,138.03333333333333,110.16666666666667,0.933596529176357,1.0711265185210423,0.8530927835051546,0.1469072164948454,0.10884150887132846
325,Khan Shaheb Osman Ali Stadium,Fatullah,,,,,,,,,
75,King George V Sports Ground,Castel,,9,125.44444444444444,106.625,0.9404818432329801,1.0632847483396612,0.8538461538461538,0.1461538461538462,0.08121827411167512
242,"King George V Sports Ground, Castel",Castel,,16,153.375,119.4,0.9947429105284485,1.0052848725192307,0.8932584269662921,0.1067415730337079,0.13917525773195877
77,Kingsmead,Durban,,29,152.20689655172413,138.6206896551724,0.9885453774313706,1.0115873513043914,0.8727272727272727,0.12727272727272732,0.1453822359699514
208,"Kingsmead, Durban",Durban,,12,162.91666666666666,147.8181818181818,1.0186176401155285,0.9817226411733683,0.934640522875817,0.065359477124183,0.1802827965435978
79,Kinrara Academy Oval,Kuala Lumpur,,17,148.2941176470588,135.625,0.9795247427027013,1.0209032568598557,0.8551401869158879,0.1448598130841121,0.13554526748971193
277,Koge Cricket Club,Koge,,,,,,,,,
73,Kyambogo Cricket Oval,Kampala,,6,115.5,96.5,0.9409574028566192,1.0627473645078251,0.821917808219178,0.17808219178082196,0.1125506072874494
92,La Manga Club Bottom Ground,Murcia,,10,101.1,94.66666666666667,0.8837905864112119,1.1314897616874118,0.8666666666666667,0.1333333333333333,0.08893594494441504
235,La Manga Club Top Ground,Murcia,,7,153.0,98.14285714285714,0.9963069766418374,1.0037067123333918,0.8705882352941177,0.12941176470588234,0.11984021304926765
353,"Lavington Sports Oval, Albury",Albury,,,,,,,,,
184,Lisicji Jarak Cricket Ground,Belgrade,,5,187.4,165.0,1.0414778786951204,0.9601740185330787,0.8421052631578947,0.1578947368421053,0.1781789638932496
50,Lord's,London,,10,157.6,135.66666666666666,1.0051308580785392,0.9948953332421336,0.8290598290598291,0.1709401709401709,0.12882096069868995
236,Los Reyes Polo Club,Guacima,,,,,,,,,
74,Lugogo Cricket Oval,Kampala,,,,,,,,,
15,M Chinnaswamy Stadium,Bangalore,,108,170.33333333333334,154.96226415094338,1.0822078142666576,0.924036942643623,0.8853754940711462,0.11462450592885376,0.18076984892317582
60,"MA Chidambaram Stadium, Chepauk",Chennai,,94,164.09574468085106,150.77659574468086,1.047200911567393,0.954926594270487,0.8797190517998245,0.12028094820017554,0.1506448087431694
332,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,,12,172.58333333333334,160.33333333333334,1.0419729578922041,0.9597178049830479,0.9112426035502958,0.08875739644970415,0.17780938833570412
93,"Maharashtra Cricket Association Stadium, Pune",Pune,,56,162.98214285714286,144.71428571428572,1.036892868775755,0.9644197873408908,0.8670520231213873,0.1329479768786127,0.15134370579915135
359,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,,39,158.53846153846155,139.6315789473684,1.0141715011721184,0.9860265239599616,0.8760330578512396,0.12396694214876036,0.1662290215778057
284,Malkerns Country Club oval,Malkerns,,5,151.2,154.75,0.9948316716046008,1.0051951787854352,0.8688524590163934,0.1311475409836066,0.19401544401544402
23,Mangaung Oval,Bloemfontein,,,,,,,,,
71,Manuka Oval,Canberra,,35,161.0,140.64705882352942,1.0237352510172713,0.976815049600289,0.928921568627451,0.07107843137254899,0.1518143351711758
278,"Maple Leaf North-East Ground, King City",King City,,,,,,,,,
254,"Maple Leaf North-West Ground, King City",King City,,19,127.52631578947368,106.05263157894737,0.9131029883139565,1.0951667148154873,0.8663793103448276,0.13362068965517238,0.12952038984354963
266,"Marrara Stadium, Darwin",Darwin,,,,,,,,,
126,Marsa Sports Club,Marsa,,57,160.12280701754386,144.3684210526316,1.023426727622823,0.97710952138485,0.8783216783216783,0.12167832167832171,0.1437284150194724
339,"Marvel Stadium, Melbourne",Melbourne,,69,160.1304347826087,145.82608695652175,1.024573130149528,0.9760162262444441,0.8967136150234741,0.10328638497652587,0.14230486008836524
